candidate_id,rank,score,reasoning
CAND_0000023,20,19.574653,"3.7 years as Software Engineer with strongest evidence in Product Shipping, Python Systems; profile also lists BigQuery, Marketing, Node.js. Ranked here after balancing fit score 19.6, hireability signal 67, and concern: not currently marked open to work."
CAND_0000041,21,19.124910,"13.7 years as Operations Manager with strongest evidence in Product Shipping, Production ML; profile also lists Airflow, SQL, Go. Ranked here after balancing fit score 19.1, hireability signal 64, and concern: recruiter response rate is weak."
CAND_0000002,22,18.865153,"12.5 years as Operations Manager with strongest evidence in Product Shipping, Production ML; profile also lists Project Management, React, Photoshop. Ranked here after balancing fit score 18.9, hireability signal 52, and concern: current role is not close to ai engineering."
CAND_0000033,23,18.131128,"8.6 years as Graphic Designer with strongest evidence in Product Shipping, Production ML; profile also lists Kubernetes, Data Pipelines, Snowflake. Ranked here after balancing fit score 18.1, hireability signal 55, and concern: recruiter response rate is weak."
CAND_0000016,24,17.877667,"5.3 years as Accountant with strongest evidence in Product Shipping, Production ML; profile also lists Node.js, Figma, Data Pipelines. Ranked here after balancing fit score 17.9, hireability signal 60, and concern: current role is not close to ai engineering."
CAND_0000037,25,17.429148,"14.3 years as Business Analyst with strongest evidence in Production ML, Product Shipping; profile also lists Databricks, Docker, Flask. Ranked here after balancing fit score 17.4, hireability signal 64, and concern: not currently marked open to work."
CAND_0000036,26,16.781723,"11.3 years as Project Manager with strongest evidence in Product Shipping; profile also lists Figma, MongoDB, PowerPoint. Good Redrob fit because technical evidence, availability signals, and practical outreach fit are aligned."
CAND_0000029,27,15.855377,"7.2 years as Business Analyst with strongest evidence in Product Shipping, Production ML; profile also lists Node.js, Scrum, Tailwind. Ranked here after balancing fit score 15.9, hireability signal 51, and concern: not currently marked open to work."
CAND_0000019,28,15.162705,"6.5 years as Project Manager with strongest evidence in Product Shipping, Production ML; profile also lists Figma, GraphQL, Six Sigma. Ranked here after balancing fit score 15.2, hireability signal 49, and concern: not currently marked open to work."
CAND_0000007,29,14.500267,"5.5 years as Civil Engineer with strongest evidence in Product Shipping, Production ML; profile also lists Content Writing, MongoDB, Sales. Ranked here after balancing fit score 14.5, hireability signal 70, and concern: not currently marked open to work."
CAND_0000024,30,13.525626,"7.5 years as HR Manager with strongest evidence in Product Shipping, Production ML; profile also lists Figma, Kubernetes, Forecasting. Ranked here after balancing fit score 13.5, hireability signal 55, and concern: not currently marked open to work."
CAND_0000017,31,12.692577,"12.3 years as Accountant with strongest evidence in Product Shipping, Production ML; profile also lists Next.js, Java, Apache Flink. Ranked here after balancing fit score 12.7, hireability signal 37, and concern: not currently marked open to work."
CAND_0000020,32,12.030057,"6.3 years as Mechanical Engineer with strongest evidence in Product Shipping, Production ML; profile also lists GraphQL, TypeScript, Flask. Ranked here after balancing fit score 12.0, hireability signal 59, and concern: not currently marked open to work."
CAND_0000046,33,11.548861,"7.8 years as Mechanical Engineer with strongest evidence in Product Shipping; profile also lists Agile, Scrum, SAP. Ranked here after balancing fit score 11.5, hireability signal 58, and concern: not currently marked open to work."
CAND_0000005,34,10.964656,"11.0 years as Accountant with strongest evidence in Product Shipping, Python Systems; profile also lists SQL, PowerPoint, Photoshop. Ranked here after balancing fit score 11.0, hireability signal 66, and concern: current role is not close to ai engineering."
CAND_0000030,35,9.961420,"10.0 years as Marketing Manager with strongest evidence in Product Shipping, Production ML; profile also lists gRPC, Apache Beam, GraphQL. Ranked here after balancing fit score 10.0, hireability signal 56, and concern: not currently marked open to work."
CAND_0000034,36,8.400652,"14.5 years as Business Analyst with strongest evidence in Product Shipping, Python Systems; profile also lists GraphQL, Excel, Node.js. Ranked here after balancing fit score 8.4, hireability signal 41, and concern: not currently marked open to work."
CAND_0000039,37,8.276538,"3.9 years as Marketing Manager with strongest evidence in Production ML, Product Shipping; profile also lists Spark, Tailwind, Sales. Ranked here after balancing fit score 8.3, hireability signal 63, and concern: not currently marked open to work."
CAND_0000004,38,8.233736,"3.8 years as Marketing Manager with strongest evidence in Production ML, Product Shipping; profile also lists Node.js, Content Writing, Redux. Ranked here after balancing fit score 8.2, hireability signal 48, and concern: not currently marked open to work."
CAND_0000018,39,7.104265,"6.6 years as Frontend Engineer with strongest evidence in Product Shipping, Production ML; profile also lists CNN, Java, Accounting. Ranked here after balancing fit score 7.1, hireability signal 38, and concern: not currently marked open to work."
CAND_0000047,40,4.724217,"2.4 years as Project Manager with strongest evidence in Product Shipping, Python Systems; profile also lists FastAPI, Java, Excel. Ranked here after balancing fit score 4.7, hireability signal 56, and concern: not currently marked open to work."
CAND_0000009,41,2.293339,"11.0 years as Mechanical Engineer with strongest evidence in Product Shipping, Python Systems; profile also lists Snowflake, gRPC, JavaScript. Ranked here after balancing fit score 2.3, hireability signal 44, and concern: not currently marked open to work."
CAND_0000049,42,2.057358,"11.8 years as Mechanical Engineer with strongest evidence in Product Shipping, Production ML; profile also lists TypeScript, Rust, Data Pipelines. Ranked here after balancing fit score 2.1, hireability signal 56, and concern: not currently marked open to work."
CAND_0000013,43,0.202552,"1.1 years as Civil Engineer with strongest evidence in Product Shipping, Production ML; profile also lists React, Redux, Vue.js. Ranked here after balancing fit score 0.2, hireability signal 58, and concern: experience is materially below the senior range."
CAND_0000003,44,0.000000,"1.1 years as Customer Support with strongest evidence in Product Shipping, Production ML; profile also lists Angular, SEO, Excel. Ranked here after balancing fit score 0.0, hireability signal 45, and concern: not currently marked open to work."
CAND_0000006,45,0.000000,"6.0 years as Business Analyst with strongest evidence in Product Shipping; profile also lists Content Writing, SEO, Redux. Ranked here after balancing fit score 0.0, hireability signal 40, and concern: activity dates need verification before outreach."
CAND_0000008,46,0.000000,"3.6 years as Operations Manager with strongest evidence in Product Shipping, Production ML; profile also lists Java, BigQuery, Spark. Ranked here after balancing fit score 0.0, hireability signal 49, and concern: not currently marked open to work."
CAND_0000012,47,0.000000,"1.1 years as Operations Manager with strongest evidence in Product Shipping, Production ML; profile also lists Azure, Airflow, AWS. Ranked here after balancing fit score 0.0, hireability signal 47, and concern: not currently marked open to work."
CAND_0000022,48,0.000000,"1.1 years as Mechanical Engineer with strongest evidence in Product Shipping, Production ML; profile also lists OpenCV, Django, Terraform. Ranked here after balancing fit score 0.0, hireability signal 53, and concern: notice period is 150 days."
CAND_0000028,49,0.000000,"1.1 years as Operations Manager with strongest evidence in Product Shipping, Production ML; profile also lists Snowflake, React, JavaScript. Ranked here after balancing fit score 0.0, hireability signal 59, and concern: not currently marked open to work."
CAND_0000040,50,0.000000,"1.6 years as Customer Support with strongest evidence in Product Shipping; profile also lists SQL, Spring Boot, Accounting. Ranked here after balancing fit score 0.0, hireability signal 46, and concern: not currently marked open to work."
